uniqueid,sitetype2,orgunituid,sitename,snu1,snu2,psnu,snu1uid,psnuuid,snu2uid,diff_snu2,gis_na,lon,lat
1020,1,meYf9FxUI4c,National Hospital - Abuja,FCT,Abuja Municipal Area Council,fc Abuja Municipal Area Council,rwV3sqg9IyH,uosU9sINAPe,uosU9sINAPe,0,0,7.46115,9.04058
1021,1,yPCziAkwkzg,Our Lady's Clinic And Maternity,FCT,Abuja Municipal Area Council,fc Abuja Municipal Area Council,rwV3sqg9IyH,uosU9sINAPe,uosU9sINAPe,0,0,7.31054,9.07613
1022,1,E82uS1Gnznn,Lugbe Primary Health Center,FCT,Abuja Municipal Area Council,fc Abuja Municipal Area Council,rwV3sqg9IyH,uosU9sINAPe,uosU9sINAPe,0,0,7.37125,8.97232
1023,1,G5maKPztL5K,Medical Missions of Mary - Lugbe,FCT,Abuja Municipal Area Council,fc Abuja Municipal Area Council,rwV3sqg9IyH,uosU9sINAPe,uosU9sINAPe,0,0,7.32691,8.93586
1024,1,rdDoegrEtum,Idu Karimo Primary Health Center,FCT,Abuja Municipal Area Council,fc Abuja Municipal Area Council,rwV3sqg9IyH,uosU9sINAPe,uosU9sINAPe,0,0,7.35954,9.07166
1025,1,lTyNAjkImn8,Pigba Medical Center,FCT,Abuja Municipal Area Council,fc Abuja Municipal Area Council,rwV3sqg9IyH,uosU9sINAPe,uosU9sINAPe,0,0,7.47339,9.00744
1026,1,rIw2AJ83KeO,Asher Hospital & Maternity,FCT,Abuja Municipal Area Council,fc Abuja Municipal Area Council,rwV3sqg9IyH,uosU9sINAPe,uosU9sINAPe,0,0,7.47428,9.09928
1027,1,no5jUGnd1ZR,Shereti Primary Health Center,FCT,Abuja Municipal Area Council,fc Abuja Municipal Area Council,rwV3sqg9IyH,uosU9sINAPe,uosU9sINAPe,0,0,7.44087,8.94239
1028,1,eVRpUIGh9Lh,Getwell Hospital,FCT,Abuja Municipal Area Council,fc Abuja Municipal Area Council,rwV3sqg9IyH,uosU9sINAPe,uosU9sINAPe,0,0,7.31964,9.08543
1029,1,LmLBtmd8U43,Federal Staff Hospital - Jabi,FCT,Abuja Municipal Area Council,fc Abuja Municipal Area Council,rwV3sqg9IyH,uosU9sINAPe,uosU9sINAPe,0,0,7.40753,9.01522
1030,1,gLfqoHRtXMC,Massan Clinic Limited,FCT,Abuja Municipal Area Council,fc Abuja Municipal Area Council,rwV3sqg9IyH,uosU9sINAPe,uosU9sINAPe,0,0,7.36607,8.97613
1031,1,dbvubsqBrWd,Holy Trinity Hospital,FCT,Abuja Municipal Area Council,fc Abuja Municipal Area Council,rwV3sqg9IyH,uosU9sINAPe,uosU9sINAPe,0,0,7.50278,9.03195
1032,1,nifRDBNbpDq,Amana Medical Center,FCT,Abuja Municipal Area Council,fc Abuja Municipal Area Council,rwV3sqg9IyH,uosU9sINAPe,uosU9sINAPe,0,0,7.48953,9.03449
1033,1,IGd2xA1uWF9,National Institute For Pharmaceutical Research - Idu,FCT,Abuja Municipal Area Council,fc Abuja Municipal Area Council,rwV3sqg9IyH,uosU9sINAPe,uosU9sINAPe,0,0,7.37366,9.03869
1034,1,gPzTgphPpvP,Queens Clinic And Maternity,FCT,Abuja Municipal Area Council,fc Abuja Municipal Area Council,rwV3sqg9IyH,uosU9sINAPe,uosU9sINAPe,0,0,7.45986,9.07383
1035,1,y6HYnDXF6Uv,Zitadel Hospital,FCT,Abuja Municipal Area Council,fc Abuja Municipal Area Council,rwV3sqg9IyH,uosU9sINAPe,uosU9sINAPe,0,0,7.41542,9.11078
1036,1,HDftMwEayKH,De Rose of Sharon Clinic And Maternity Hospital,FCT,Abuja Municipal Area Council,fc Abuja Municipal Area Council,rwV3sqg9IyH,uosU9sINAPe,uosU9sINAPe,0,0,7.56334,8.97636
1037,1,TkzDfwZL3qF,Kurudu Primary Health Center,FCT,Abuja Municipal Area Council,fc Abuja Municipal Area Council,rwV3sqg9IyH,uosU9sINAPe,uosU9sINAPe,0,0,7.51997,9.05594
1038,1,RJQw1UeNELQ,Pan-Raf Hospital,FCT,Abuja Municipal Area Council,fc Abuja Municipal Area Council,rwV3sqg9IyH,uosU9sINAPe,uosU9sINAPe,0,0,7.57543,9.03685
1039,1,YanQR0c32TZ,Fereprod Medical Center,FCT,Abuja Municipal Area Council,fc Abuja Municipal Area Council,rwV3sqg9IyH,uosU9sINAPe,uosU9sINAPe,0,0,7.49598,9.03629
1040,1,aJo7iehgsff,Bassa Jiwa Primary Health Center,FCT,Abuja Municipal Area Council,fc Abuja Municipal Area Council,rwV3sqg9IyH,uosU9sINAPe,uosU9sINAPe,0,0,7.28619,9.01962
1041,1,iJ6bV49PCve,Daughters of Charity (Doc) Hospital - Kubwa,FCT,Bwari,fc Bwari,rwV3sqg9IyH,JkmyrqDGshk,JkmyrqDGshk,0,0,7.3227,9.1628
1042,1,OJgWGZkJlTc,Dominion Hospital,FCT,Bwari,fc Bwari,rwV3sqg9IyH,JkmyrqDGshk,JkmyrqDGshk,1,0,7.503254813,9.276382214
1043,1,THd4hJ2BfQy,Bwari Medical Center,FCT,Bwari,fc Bwari,rwV3sqg9IyH,JkmyrqDGshk,JkmyrqDGshk,0,0,7.37677,9.27672
1044,1,GXIQ6xT9o8T,Kuduru Primary Health Center,FCT,Bwari,fc Bwari,rwV3sqg9IyH,JkmyrqDGshk,JkmyrqDGshk,0,0,7.36402,9.29743
1045,1,aTyozPo1kwD,Lurcia Well Hospital Limited,FCT,Bwari,fc Bwari,rwV3sqg9IyH,JkmyrqDGshk,JkmyrqDGshk,0,0,7.38184,9.27194
1046,1,aQlACyagbgy,Our Lady of Fatima Hospital - Bwari,FCT,Bwari,fc Bwari,rwV3sqg9IyH,JkmyrqDGshk,JkmyrqDGshk,0,0,7.3804,9.27316
1047,1,HVbsitbHef7,Zhigakuchi Primary Health Center,FCT,Bwari,fc Bwari,rwV3sqg9IyH,JkmyrqDGshk,JkmyrqDGshk,0,0,7.4032,9.23995
1048,1,x9IejBPCQVb,Kubwa General Hospital,FCT,Bwari,fc Bwari,rwV3sqg9IyH,JkmyrqDGshk,JkmyrqDGshk,0,0,7.34078,9.15732
1049,1,Gq6VRX4SDTV,Mpape Primary Health Center,FCT,Bwari,fc Bwari,rwV3sqg9IyH,JkmyrqDGshk,JkmyrqDGshk,1,0,7.503254813,9.276382214
1050,1,b8wSBkFN6qj,"360 Care Clinic & Maternity, Mpape",FCT,Abuja Municipal Area Council,fc Bwari,rwV3sqg9IyH,uosU9sINAPe,uosU9sINAPe,0,0,7.49478,9.13668
1051,1,bVBWYm62p9C,Miracle Seed Clinic And Maternity,FCT,Bwari,fc Bwari,rwV3sqg9IyH,JkmyrqDGshk,JkmyrqDGshk,1,0,7.503254813,9.276382214
1052,1,cKDxPChHFCF,Kogo Primary Health Center,FCT,Bwari,fc Bwari,rwV3sqg9IyH,JkmyrqDGshk,JkmyrqDGshk,0,0,7.38796,9.25621
1053,1,gCq0WqCmVqi,Dei Dei Comprehensive Health Center,FCT,Bwari,fc Bwari,rwV3sqg9IyH,JkmyrqDGshk,JkmyrqDGshk,1,0,7.503254813,9.276382214
1054,1,IJ5PG1Bw2VW,Sabon Gari Primary Health Center,FCT,Bwari,fc Bwari,rwV3sqg9IyH,JkmyrqDGshk,JkmyrqDGshk,0,0,7.3639,9.26025
1055,1,JORcUr1vjZ2,Laura Hospital And Maternity,FCT,Bwari,fc Bwari,rwV3sqg9IyH,JkmyrqDGshk,JkmyrqDGshk,0,0,7.38474,9.25973
1056,1,L5zpxfg6nMU,Durumi Primary Health Center,FCT,Bwari,fc Bwari,rwV3sqg9IyH,JkmyrqDGshk,JkmyrqDGshk,0,0,7.49639,9.16882
1057,1,SMNPrXL30v4,Express Hospital,FCT,Bwari,fc Bwari,rwV3sqg9IyH,JkmyrqDGshk,JkmyrqDGshk,1,0,7.503254813,9.276382214
1058,1,v3TkEm3tIOC,St. Andrews Anglican Hospital - Kubwa,FCT,Bwari,fc Bwari,rwV3sqg9IyH,JkmyrqDGshk,JkmyrqDGshk,0,1,7.503254813,9.276382214
1059,1,xKvwaYWM2BS,Excellence And Friends Management Consult (Efmc) Care Center (Modern Health Hospital),FCT,Bwari,fc Bwari,rwV3sqg9IyH,JkmyrqDGshk,JkmyrqDGshk,0,0,7.3211,9.17001
1060,1,z3lEh9ayyzV,Gabic Divine Clinic And Maternity,FCT,Bwari,fc Bwari,rwV3sqg9IyH,JkmyrqDGshk,JkmyrqDGshk,0,0,7.37665,9.27509
1061,1,nbtCj3RMtzw,Shere Primary Health Center,FCT,Bwari,fc Bwari,rwV3sqg9IyH,JkmyrqDGshk,JkmyrqDGshk,0,0,7.37284,9.28845
1062,1,KA9udHas5Nt,Bwari General Hospital,FCT,Bwari,fc Bwari,rwV3sqg9IyH,JkmyrqDGshk,JkmyrqDGshk,0,0,7.37672,9.27657
1063,1,z5gQ18jlgj5,Unity Clinic And Maternity,FCT,Bwari,fc Bwari,rwV3sqg9IyH,JkmyrqDGshk,JkmyrqDGshk,1,0,7.503254813,9.276382214
1064,1,Rg6WyccbM1f,Omega Hospital,FCT,Bwari,fc Bwari,rwV3sqg9IyH,JkmyrqDGshk,JkmyrqDGshk,1,0,7.503254813,9.276382214
1065,1,bnUu3uUtKQ2,M-Dali Hospital,FCT,Bwari,fc Bwari,rwV3sqg9IyH,JkmyrqDGshk,JkmyrqDGshk,1,0,7.503254813,9.276382214
1066,1,o9te66bbXbK,Chitzere Maternity Home,FCT,Bwari,fc Bwari,rwV3sqg9IyH,JkmyrqDGshk,JkmyrqDGshk,1,0,7.503254813,9.276382214
1067,1,MTrVJduShZG,Divine Winners Clinic And Maternity,FCT,Bwari,fc Bwari,rwV3sqg9IyH,JkmyrqDGshk,JkmyrqDGshk,1,0,7.503254813,9.276382214
1068,1,Z8B1VX79MbC,Sumit Hospital,FCT,Bwari,fc Bwari,rwV3sqg9IyH,JkmyrqDGshk,JkmyrqDGshk,0,0,7.3806,9.27709
1069,1,RH2hXXYLm3t,Viva Hospital,FCT,Bwari,fc Bwari,rwV3sqg9IyH,JkmyrqDGshk,JkmyrqDGshk,0,0,7.35231,9.26525
1070,1,UkHphkpqSKb,Goodness Land Clinic And Maternity,FCT,Bwari,fc Bwari,rwV3sqg9IyH,JkmyrqDGshk,JkmyrqDGshk,1,0,7.503254813,9.276382214
1071,1,NF1AxpCGCKk,Anawim One Stop Shop,FCT,Gwagwalada,fc Gwagwalada,rwV3sqg9IyH,V91ICEXLeks,V91ICEXLeks,0,0,7.024414008,9.068427738
1072,1,WRIX0OX3q6e,Dagiri Primary Health Center,FCT,Gwagwalada,fc Gwagwalada,rwV3sqg9IyH,V91ICEXLeks,V91ICEXLeks,0,0,7.08888,8.93106
1073,1,GW1w1chZMPR,University of Abuja Teaching Hospital - Gwagwalda,FCT,Gwagwalada,fc Gwagwalada,rwV3sqg9IyH,V91ICEXLeks,V91ICEXLeks,0,0,7.06404,8.95295
1074,1,JjiCVLEjZ1p,Joefag Alheri Clinic And Maternity,FCT,Gwagwalada,fc Gwagwalada,rwV3sqg9IyH,V91ICEXLeks,V91ICEXLeks,1,0,7.024414008,9.068427738
1075,1,NUcA8XMsSMI,Living Rock Hospital And Maternity,FCT,Gwagwalada,fc Gwagwalada,rwV3sqg9IyH,V91ICEXLeks,V91ICEXLeks,1,0,7.024414008,9.068427738
1076,1,rgzdfVQ9AK2,Zuba Primary Health Center,FCT,Gwagwalada,fc Gwagwalada,rwV3sqg9IyH,V91ICEXLeks,V91ICEXLeks,0,0,7.21551,9.09618
1077,1,RzBQByP3Hd7,Diamond Crest Hospital And Maternity,FCT,Gwagwalada,fc Gwagwalada,rwV3sqg9IyH,V91ICEXLeks,V91ICEXLeks,1,0,7.024414008,9.068427738
1078,1,ZkdXdTHpcXN,Gwagwalada Township Clinic,FCT,Gwagwalada,fc Gwagwalada,rwV3sqg9IyH,V91ICEXLeks,V91ICEXLeks,0,0,7.0872,8.94087
1079,1,IEE3UZcwPu3,Gwagwalada Kp One Stop Shop,FCT,Gwagwalada,fc Gwagwalada,rwV3sqg9IyH,V91ICEXLeks,V91ICEXLeks,0,1,7.024414008,9.068427738
1080,1,aYxFOTxAeHr,Alheri Kuntuku Clinic,FCT,Gwagwalada,fc Gwagwalada,rwV3sqg9IyH,V91ICEXLeks,V91ICEXLeks,0,0,7.08129,8.93598
1081,1,xBjuRJxxetO,Gwagwalada Clinic And Maternity,FCT,Gwagwalada,fc Gwagwalada,rwV3sqg9IyH,V91ICEXLeks,V91ICEXLeks,0,0,7.19704,9.06046
1082,1,ZvwAJoKvg8Y,Minat Clinic,FCT,Gwagwalada,fc Gwagwalada,rwV3sqg9IyH,V91ICEXLeks,V91ICEXLeks,0,0,7.07895,8.93487
1083,1,Vje0kITuxn5,Yimi Primary Health Center,FCT,Gwagwalada,fc Gwagwalada,rwV3sqg9IyH,V91ICEXLeks,V91ICEXLeks,0,0,7.19786,9.09321
1084,1,b1FhDo7xSWO,Jerab Hospitals,FCT,Gwagwalada,fc Gwagwalada,rwV3sqg9IyH,V91ICEXLeks,V91ICEXLeks,0,0,7.07653,8.93297
1085,1,ChTDetqw53N,Allison Medical Center,FCT,Kuje,fc Kuje,rwV3sqg9IyH,qK6jo6jLIav,qK6jo6jLIav,0,0,7.21538,8.88554
1086,1,ICdkOHvCUgW,Kuje Primary Health Center,FCT,Kuje,fc Kuje,rwV3sqg9IyH,qK6jo6jLIav,qK6jo6jLIav,1,0,7.25256849,8.661292016
1087,1,cp7lzrnlXEV,Kwali General Hospital,FCT,Kwali,fc Kwali,rwV3sqg9IyH,sQbPVIKsxwT,sQbPVIKsxwT,1,0,6.975606741,8.741047082
1088,1,OHu3MeJ3B6V,Kundu Primary Health Center,FCT,Kwali,fc Kwali,rwV3sqg9IyH,sQbPVIKsxwT,sQbPVIKsxwT,1,0,6.975606741,8.741047082
1089,1,WXTrdUZkyke,Dabibako Primary Health Center,FCT,Kwali,fc Kwali,rwV3sqg9IyH,sQbPVIKsxwT,sQbPVIKsxwT,1,0,6.975606741,8.741047082
1090,1,EqwqkFZQNfH,Kalshingi Primary Health Center,Gombe,Akko,go Akko,XzSGf4ZxlR6,hQDiS6TSZdz,hQDiS6TSZdz,1,0,11.0464923,10.10872765
1091,1,xqIQZPT6Fdf,Pindiga Cottage Hospital,Gombe,Akko,go Akko,XzSGf4ZxlR6,hQDiS6TSZdz,hQDiS6TSZdz,1,0,11.0464923,10.10872765
1092,1,bW4cbw8Kloh,Kashere General Hospital,Gombe,Akko,go Akko,XzSGf4ZxlR6,hQDiS6TSZdz,hQDiS6TSZdz,1,0,11.0464923,10.10872765
1093,1,hnu8aVM6eMV,Bogo Model Primary Health Center,Gombe,Akko,go Akko,XzSGf4ZxlR6,hQDiS6TSZdz,hQDiS6TSZdz,1,0,11.0464923,10.10872765
1094,1,tIEFDNyv2IV,Cham Primary Health Center,Gombe,Balanga,go Balanga,XzSGf4ZxlR6,MMtwgHXDdXV,MMtwgHXDdXV,0,0,11.59849,9.94592
1095,1,LzmgjtL87kh,Talase General Hospital,Gombe,Balanga,go Balanga,XzSGf4ZxlR6,MMtwgHXDdXV,MMtwgHXDdXV,0,0,11.66892,9.97373
1096,1,yAtYirMpXuz,Bam Bam Cottage Hospital,Gombe,Balanga,go Balanga,XzSGf4ZxlR6,MMtwgHXDdXV,MMtwgHXDdXV,0,0,11.51459,9.69446
1097,1,ItQqTK4vrzT,Billiri General Hospital,Gombe,Billiri,go Billiri,XzSGf4ZxlR6,NeOiTtsL5sa,NeOiTtsL5sa,0,0,11.2093,9.882
1098,1,frnHxx8ZcTF,Pobaure Primary Health Center,Gombe,Billiri,go Billiri,XzSGf4ZxlR6,NeOiTtsL5sa,NeOiTtsL5sa,0,0,11.11956,9.9328
1099,1,X8smKtvqUob,Dukku General Hospital,Gombe,Dukku,go Dukku,XzSGf4ZxlR6,VQgRF8xzLJH,VQgRF8xzLJH,0,0,10.7735,10.82749
1100,1,VvdGo3jc0D0,Dukku Comprehensive Health Center,Gombe,Dukku,go Dukku,XzSGf4ZxlR6,VQgRF8xzLJH,VQgRF8xzLJH,0,0,10.77347,10.82748
1101,1,XNy0j3RUrI6,Ashaka Cement Clinic,Gombe,Funakaye,go Funakaye,XzSGf4ZxlR6,ar43MQufI9v,ar43MQufI9v,0,0,11.47678,10.91669
1102,1,t0ulFJivm9P,Bajoga General Hospital,Gombe,Funakaye,go Funakaye,XzSGf4ZxlR6,ar43MQufI9v,ar43MQufI9v,0,0,11.43833,10.85386
1103,1,jkw8uV3T206,Kumbiya Kumbiya Primary Health Center,Gombe,Gombe,go Gombe,XzSGf4ZxlR6,kbvQ8m0PGSU,kbvQ8m0PGSU,0,0,11.16632,10.28431
1104,1,jRNyO3ImWmI,Musaba Clinic,Gombe,Gombe,go Gombe,XzSGf4ZxlR6,kbvQ8m0PGSU,kbvQ8m0PGSU,0,0,11.15996,10.30155
1105,1,hX8Nrf3AEz7,Doma Hospital,Gombe,Gombe,go Gombe,XzSGf4ZxlR6,kbvQ8m0PGSU,kbvQ8m0PGSU,0,0,11.18185,10.28831
1106,1,UeAxwJmzoPH,Federal Medical Center - Gombe,Gombe,Gombe,go Gombe,XzSGf4ZxlR6,kbvQ8m0PGSU,kbvQ8m0PGSU,0,0,11.13933,10.29721
1107,1,Lx9SQTEgXS3,Miyetti Hospital,Gombe,Gombe,go Gombe,XzSGf4ZxlR6,kbvQ8m0PGSU,kbvQ8m0PGSU,0,0,11.15638,10.29858
1108,1,TinjgNiJrB4,Herwagana Maternal And Child Health Clinic,Gombe,Gombe,go Gombe,XzSGf4ZxlR6,kbvQ8m0PGSU,kbvQ8m0PGSU,0,0,11.18614,10.28817
1109,1,y6Kk5VUXOX7,Kasuwan Mata Health Clinic,Gombe,Gombe,go Gombe,XzSGf4ZxlR6,kbvQ8m0PGSU,kbvQ8m0PGSU,0,0,11.16911,10.30208
1110,1,aGOQB2fZ1Bt,Town Maternity Gombe,Gombe,Gombe,go Gombe,XzSGf4ZxlR6,kbvQ8m0PGSU,kbvQ8m0PGSU,0,0,11.1658,10.29217
1111,1,dxf5N2oFePK,Tudun Wada Primary Health Center,Gombe,Gombe,go Gombe,XzSGf4ZxlR6,kbvQ8m0PGSU,kbvQ8m0PGSU,1,0,11.16049442,10.28650604
1112,1,kQSAihTQQep,Gombe State Specialist Hospital,Gombe,Gombe,go Gombe,XzSGf4ZxlR6,kbvQ8m0PGSU,kbvQ8m0PGSU,0,0,11.1579,10.28847
1113,1,pU92ZUAY68L,Pantami Primary Health Center,Gombe,Gombe,go Gombe,XzSGf4ZxlR6,kbvQ8m0PGSU,kbvQ8m0PGSU,0,0,11.16786,10.26932
1114,1,TiAwIXFMkLy,Sunnah Hospital,Gombe,Gombe,go Gombe,XzSGf4ZxlR6,kbvQ8m0PGSU,kbvQ8m0PGSU,0,0,11.18472,10.28602
1115,1,ve4UhhWPdtv,Bolari Maternal And Child Health Clinic,Gombe,Gombe,go Gombe,XzSGf4ZxlR6,kbvQ8m0PGSU,kbvQ8m0PGSU,0,0,11.17364,10.27936
1116,1,xOjkh238G8g,Gabukka Maternal And Child Health Clinic,Gombe,Gombe,go Gombe,XzSGf4ZxlR6,kbvQ8m0PGSU,kbvQ8m0PGSU,0,0,11.166,10.27916
1117,1,kjkBvkvr0Rj,Amdo Medical Clinic,Gombe,Kaltungo,go Kaltungo,XzSGf4ZxlR6,VFdjWHMxQJ7,VFdjWHMxQJ7,0,0,11.31856,9.82217
1118,1,KLEiRw5efPW,Tula Cottage Hospital,Gombe,Kaltungo,go Kaltungo,XzSGf4ZxlR6,VFdjWHMxQJ7,VFdjWHMxQJ7,0,0,11.47215,9.84056
1119,1,CnFTZ4Yu5A8,Kaltungo General Hospital,Gombe,Kaltungo,go Kaltungo,XzSGf4ZxlR6,VFdjWHMxQJ7,VFdjWHMxQJ7,0,0,11.32024,9.83014
1120,1,ZQOlLOUnCeZ,Kagarawal Comprehensive Health Center,Gombe,Kaltungo,go Kaltungo,XzSGf4ZxlR6,VFdjWHMxQJ7,VFdjWHMxQJ7,1,0,11.41913431,9.834648119
1121,1,K4zAO0M2Kmq,Daban Fulani Maternal And Child Health Clinic,Gombe,Kwami,go Kwami,XzSGf4ZxlR6,ipw9D3TRP8p,ipw9D3TRP8p,0,0,11.10063,10.3853
1122,1,qjAHaXsYrWi,Mallam Sidi Cottage Hospital,Gombe,Kwami,go Kwami,XzSGf4ZxlR6,ipw9D3TRP8p,ipw9D3TRP8p,0,0,11.02946,10.53891
1123,1,gO6hDzeSBgl,Nafada General Hospital,Gombe,Nafada,go Nafada-Bajoga,XzSGf4ZxlR6,fgDvaz58q64,fgDvaz58q64,0,0,11.34156,11.09206
1124,1,U1gAYFD9UHr,Majidadi Maternal And Child Health Clinic,Gombe,Shomgom,go Shongom,XzSGf4ZxlR6,gArfGStpgDM,gArfGStpgDM,0,0,11.06873,9.58992
1125,1,vaP8U6qfGIa,Filiya Primary Health Center,Gombe,Shomgom,go Shongom,XzSGf4ZxlR6,gArfGStpgDM,gArfGStpgDM,0,0,11.09314,9.5854
1126,1,HwC7f1qYg2o,Deba General Hospital,Gombe,Yamaltu/Deba,go Yamaltu-Deba,XzSGf4ZxlR6,Dz65VTZfbUd,Dz65VTZfbUd,1,0,11.47603116,10.26155652
1127,1,P9815pFCx4Y,Infectious Disesase Hospital - Zambuk,Gombe,Yamaltu/Deba,go Yamaltu-Deba,XzSGf4ZxlR6,Dz65VTZfbUd,Dz65VTZfbUd,1,0,11.47603116,10.26155652
1128,1,iv0qlMT9FCJ,Amuzu Primary Health Center,Imo,Aboh-Mbaise,im Aboh Mbaise,xod2zGl32QR,QT7WqfzOT7X,QT7WqfzOT7X,0,0,7.28489,5.39592
1129,1,qGQliH5UA4W,Aboh Mbaise General Hospital,Imo,Aboh-Mbaise,im Aboh Mbaise,xod2zGl32QR,QT7WqfzOT7X,QT7WqfzOT7X,1,0,7.252935562,5.432683564
1130,1,vidxf7Mjwn0,Holy Rosary Hospital Ogbor Nguru,Imo,Aboh-Mbaise,im Aboh Mbaise,xod2zGl32QR,QT7WqfzOT7X,QT7WqfzOT7X,1,0,7.252935562,5.432683564
1131,1,NiviaoJZNyh,Mbutu Primary Health Center,Imo,Aboh-Mbaise,im Aboh Mbaise,xod2zGl32QR,QT7WqfzOT7X,QT7WqfzOT7X,0,0,7.24334,5.42477
1132,1,hOC8KaWZZT2,Nguru Nweke Primary Health Center,Imo,Aboh-Mbaise,im Aboh Mbaise,xod2zGl32QR,QT7WqfzOT7X,QT7WqfzOT7X,0,0,7.248,5.46998
1133,1,ccEqDMosxj8,Nkworgwu Health Center,Imo,Aboh-Mbaise,im Aboh Mbaise,xod2zGl32QR,QT7WqfzOT7X,QT7WqfzOT7X,0,0,7.23856,5.49816
1134,1,ssrXK0edvoQ,Nnariambia Primary Health Center,Imo,Ahiazu-Mbaise,im Ahiazu Mbaise,xod2zGl32QR,EyHfmrBzsuk,EyHfmrBzsuk,0,0,7.26534,5.52405
1135,1,jRwU6kFKmtR,Ekwereazu Town Primary Health Center,Imo,Ahiazu-Mbaise,im Ahiazu Mbaise,xod2zGl32QR,EyHfmrBzsuk,EyHfmrBzsuk,0,0,7.22381,5.54487
1136,1,UeLjyCRf41x,Umuezeala Owere Health Center,Imo,Ehime-Mbano,im Ehime Mbano,xod2zGl32QR,Ymb6umwsISK,Ymb6umwsISK,0,0,7.27606,5.6268
1137,1,j6z2xybgRB0,Chokoneze Ndutu Primary Health Center,Imo,Ezinihitte,im Ezinihitte,xod2zGl32QR,dzjXm8e1cNs,IxeWi5YG9lE,1,0,7.326932987,5.475273296
1138,1,FPRuTh36U56,Osina Community Hospital,Imo,Ideato North,im Ideato North,xod2zGl32QR,CRvHqQVBlD6,CRvHqQVBlD6,0,0,7.10093,5.88817
1139,1,or6uZUxBj2u,Immaculate Hospital - Urualla,Imo,Ideato North,im Ideato North,xod2zGl32QR,CRvHqQVBlD6,CRvHqQVBlD6,0,0,7.10231,5.85613
1140,1,Of2XxJh71lU,Amaimo Primary Health Center,Imo,Ikeduru,im Ikeduru,xod2zGl32QR,JVBsHZWT7pB,JVBsHZWT7pB,1,0,7.154211004,5.563200017
1141,1,xYAJgjPnORf,Iho Basic Health Center,Imo,Ikeduru,im Ikeduru,xod2zGl32QR,JVBsHZWT7pB,JVBsHZWT7pB,0,0,7.0956,5.57656
1142,1,tmTTFjnghHW,Ebenato Ekwe Health Center,Imo,Isu,im Isu,xod2zGl32QR,ZzZelaZBCYJ,ZzZelaZBCYJ,1,0,7.055679779,5.689564925
1143,1,goe5odmMRiC,Ogwa General Hospital,Imo,Mbaitoli,im Mbaitoli,xod2zGl32QR,GEwjVcMYoao,GEwjVcMYoao,0,0,7.08713,5.63582
1144,1,QkG3k13nmsV,Nworieubi Primary Health Center,Imo,Mbaitoli,im Mbaitoli,xod2zGl32QR,GEwjVcMYoao,GEwjVcMYoao,1,0,7.026022692,5.59668521
1145,1,aMKXrfGkE1q,Mbieri General Hospital,Imo,Mbaitoli,im Mbaitoli,xod2zGl32QR,GEwjVcMYoao,GEwjVcMYoao,0,0,7.05457,5.56995
1146,1,qY7BsSDw1Cq,Elelem Primary Health Center,Imo,Ngor-Okpala,im Ngor Okpala,xod2zGl32QR,vpCKW3gWNhV,D47MUIzTapM,0,0,7.14596,5.27484
1147,1,giBK8kuxNmo,Ngor Okpala General Hospital,Imo,Ngor-Okpala,im Ngor Okpala,xod2zGl32QR,vpCKW3gWNhV,D47MUIzTapM,0,0,7.15168,5.33854
1148,1,gvwz0e7bZSs,Ndukwu Hospital,Imo,Njaba,im Njaba,xod2zGl32QR,qNzCWtO8dMh,qNzCWtO8dMh,0,0,7.00584,5.7169
1149,1,kkOnGhpxLhD,Ibele Health Center,Imo,Njaba,im Njaba,xod2zGl32QR,qNzCWtO8dMh,qNzCWtO8dMh,0,0,7.00569,5.66991
1150,1,M7TglGINY24,Nkwere Maternal And Child Health Clinic,Imo,Nkwerre,im Nkwerre,xod2zGl32QR,iz3ehfkjBvm,iz3ehfkjBvm,0,0,7.1087,5.74916
1151,1,uwlIdZCiLo5,Owerre Nkworji Health Center,Imo,Nkwerre,im Nkwerre,xod2zGl32QR,iz3ehfkjBvm,iz3ehfkjBvm,0,0,7.11602,5.74679
1152,1,zmDEbejUCVF,Abba 1 Primary Health Center - Umuopara,Imo,Nwangele,im Nwangele,xod2zGl32QR,eUmxQeRPiBM,eUmxQeRPiBM,0,0,7.14386,5.69677
1153,1,GRNvujtMkBW,St. Mary Joint Hospital - Amaigbo,Imo,Nwangele,im Nwangele,xod2zGl32QR,eUmxQeRPiBM,eUmxQeRPiBM,1,0,7.126221363,5.713831271
1154,1,nELlSoRvjxw,Our Lady of Mercy - Obowo,Imo,Obowo,im Obowo,xod2zGl32QR,VTczXNlh45U,VTczXNlh45U,0,0,7.36591,5.57136
1155,1,bfG97xTc2Nj,Mgbala Primary Health Center,Imo,Oguta,im Oguta,xod2zGl32QR,fIJ193PGC3L,fIJ193PGC3L,0,0,6.88353,5.54703
1156,1,wgbiuYyunTU,Akabo Health Center,Imo,Oguta,im Oguta,xod2zGl32QR,fIJ193PGC3L,fIJ193PGC3L,1,0,6.799811673,5.665562046
1157,1,xxdjXslNZVI,Egbuoma Health Center,Imo,Oguta,im Oguta,xod2zGl32QR,fIJ193PGC3L,fIJ193PGC3L,0,0,6.77805,5.74726
1158,1,iB7K9uuozE6,Mbano Health Center - Agwa Oguta,Imo,Oguta,im Oguta,xod2zGl32QR,fIJ193PGC3L,fIJ193PGC3L,0,0,6.90268,5.54458
